vrsta,otok,spol,prehrana,dob,zdravlje,godina,kljun_duljina,kljun_dubina,peraja_duljina,masa,visina
Adelie,Biscoe,zenka,riba,odrasli,pretili,2021,53.4,17.8,219,5687,76.87
Adelie,Biscoe,zenka,riba,odrasli,pretili,2021,49.3,18.1,245,6811,88.11
Adelie,Biscoe,zenka,riba,odrasli,pretili,2021,55.7,16.6,226,5388,73.88
Adelie,Biscoe,zenka,riba,odrasli,pretili,2021,38,15.6,221,6262,82.62
Adelie,Biscoe,zenka,riba,juvenilni,pretili,2021,60.7,17.9,177,4811,68.11
Adelie,Biscoe,zenka,riba,juvenilni,pretili,2021,35.7,16.8,194,5266,72.66
Adelie,Biscoe,zenka,riba,odrasli,pretili,2021,61,20.8,211,5961,79.61
Adelie,Biscoe,muzjak,riba,odrasli,pretili,2021,66.1,20.8,246,6653,86.53
Adelie,Biscoe,muzjak,riba,odrasli,pretili,2021,61.4,19.9,270,6722,87.22
Adelie,Biscoe,muzjak,riba,odrasli,pretili,2021,54.9,22.3,230,6494,84.94
Adelie,Biscoe,muzjak,riba,odrasli,pretili,2021,63.9,16.5,277,6147,81.47
Adelie,Biscoe,muzjak,riba,juvenilni,pretili,2021,55.1,19.7,224,6038,80.38
Adelie,Biscoe,muzjak,riba,odrasli,zdravi,2021,57.4,19.5,255,5920,79.2
Adelie,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,20.4,16.9,166,3431,54.31
Adelie,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,20.4,14.9,188,3672,56.72
Adelie,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,20.8,18,206,3378,53.78
Adelie,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,25.9,17.8,186,3511,55.11
Adelie,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,21.3,16.8,179,3631,56.31
Adelie,Biscoe,zenka,kril,juvenilni,zdravi,2021,28.5,17.4,169,3810,58.1
Adelie,Biscoe,muzjak,kril,juvenilni,zdravi,2021,31.6,16,214,5004,70.04
Adelie,Biscoe,muzjak,kril,odrasli,pothranjeni,2021,31.7,24.6,216,4821,68.21
Adelie,Biscoe,muzjak,kril,odrasli,zdravi,2021,32.9,20.2,231,5431,74.31
Adelie,Biscoe,muzjak,kril,juvenilni,zdravi,2021,21.1,23.3,219,4649,66.49
Adelie,Biscoe,muzjak,kril,odrasli,pothranjeni,2021,26.9,19.2,229,4883,68.83
Adelie,Biscoe,muzjak,kril,juvenilni,pothranjeni,2021,25.1,17.9,204,4405,64.05
Adelie,Biscoe,zenka,roditelji,pilic,zdravi,2021,30.2,13.1,171,2945,49.45
Adelie,Biscoe,zenka,roditelji,pilic,zdravi,2021,36,17.7,167,2989,49.89
Adelie,Biscoe,zenka,roditelji,pilic,zdravi,2021,28,16,164,3048,50.48
Adelie,Biscoe,zenka,roditelji,pilic,zdravi,2021,35.8,14.2,174,3005,50.05
Adelie,Biscoe,zenka,roditelji,pilic,pretili,2021,23.3,14.2,176,3203,52.03
Adelie,Biscoe,zenka,roditelji,pilic,zdravi,2021,33,15,177,2850,48.5
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,32.8,14.6,193,3653,56.53
Adelie,Biscoe,muzjak,roditelji,pilic,pothranjeni,2021,30.4,19.9,176,3220,52.2
Adelie,Biscoe,muzjak,roditelji,pilic,pretili,2021,36.3,11.2,200,3899,58.99
Adelie,Biscoe,muzjak,roditelji,pilic,pothranjeni,2021,34.3,18.1,165,3366,53.66
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,26.5,12.4,171,3736,57.36
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,32.9,14.9,181,3647,56.47
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,34.7,14,210,3411,54.11
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,29.8,16.9,178,3682,56.82
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,38.9,14.6,169,3668,56.68
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,38.9,9.1,195,3597,55.97
Adelie,Biscoe,muzjak,roditelji,pilic,pretili,2021,33.7,13.6,180,3975,59.75
Adelie,Biscoe,muzjak,roditelji,pilic,pretili,2021,32.2,13.1,185,4142,61.42
